日期,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
2016-05-10,15128.44,8273.719,1852.125,3865.313,1324.219,4575.844,7541.063,5157.938,6085.5,13584.28,11796.28,15730.13,15365.91,16750.78,17107.78,17885.81,16330.5,15832.41,15090.56,16142.06,13200.94,14056.78,12411.56,11434.03,8562.844,7003.688,6846.375,7406.531,4586.344,5160.844,3678.375,3618.656,3199.781,3138.75,3167.813,3434.25,3236.156,3164.813,3167.531,3181.5,3183.0,3178.688,3181.125,3181.313,3183.0,3177.563,3182.813,3178.313,3176.063,3182.25,3180.0,3181.688,3181.125,3178.313,3180.094,3177.844,3163.781,3176.625,3567.375,3462.938,3539.438,3192.375,3154.125,3178.875,3181.594,3182.25,3181.875,3181.781,3181.688,409.5938,615.6563,1331.719,1498.594,1442.344,1334.063,1273.781,587.25,975.375,2272.125,3735.469,2923.594,3338.531,2991.094,1545.75,1042.313,951.0,623.8125,728.0625,2817.656,4262.813,2873.531,5428.406,4471.688,3889.969,4112.156,4559.531
2016-05-11,3531.656,2299.031,1585.406,3177.469,3901.125,6757.125,7290.188,9334.501,7934.813,8212.781,4870.688,5098.875,3952.406,4874.625,1704.469,1365.188,2042.813,1271.438,2425.875,4001.531,3373.594,3670.125,3561.281,2339.344,3132.844,1999.781,1115.719,1372.875,1817.25,1923.469,1730.531,1600.688,393.0938,31.03125,2724.188,4425.375,4036.688,5415.469,4320.844,3887.156,5717.25,4191.469,4864.5,5771.156,4857.938,5725.406,4189.125,4703.344,4909.031,5305.313,4293.75,4426.219,3731.531,1405.406,2547.469,7903.313,8283.845,5110.219,4287.188,5520.75,4242.563,2889.281,3071.625,8617.876,12896.25,16187.63,26364.56,22909.69,20614.41,15217.13,19672.78,13388.16,11833.22,11981.25,13028.34,15581.72,17204.44,13584.19,14928.94,14318.53,9007.781,8509.688,9246.0,7494.188,5657.532,7379.156,8787.563,5566.219,5266.031,6616.781,5446.782,6304.219,8149.406,8285.438,5626.969,2561.25
2016-05-12,1385.531,836.25,442.6875,472.5,526.2188,831.375,769.125,1506.0,816.0938,2692.781,4821.75,3041.344,3394.5,3105.094,3936.938,9164.438,7083.375,8785.125,10145.81,10943.16,9529.595,10380.94,10975.03,12072.84,9263.063,5591.25,3520.969,3186.469,2889.375,7198.313,11823.28,13120.5,14712.56,14427.19,10073.53,11188.69,8518.313,6685.594,5887.688,8847.0,8690.063,13596.66,18907.03,6570.469,8806.406,11928.28,5811.281,9385.875,20173.13,9080.344,7434.844,3181.875,4614.563,6821.719,9290.719,10405.41,5306.625,4487.25,8880.656,2495.063,12963.75,14841.94,7097.438,8188.594,20391.94,14927.25,10120.59,29132.63,22304.63,23117.44,14381.72,37471.41,35495.34,37893.09,28293.19,29610.0,27186.47,22174.22,23826.09,21678.09,24678.0,28811.34,27649.88,24200.63,29633.44,28464.19,20584.5,13442.25,15031.41,19052.44,17172.38,21666.66,29535.0,30950.06,29997.19,28747.31
2016-05-13,29517.0,31396.69,27441.47,27354.19,29997.19,31962.56,34357.31,34059.75,34682.91,34792.22,35163.0,34324.69,34163.06,35058.75,32896.78,33061.41,32284.78,31754.53,30705.75,33312.94,33547.69,33159.38,32565.19,28234.41,27602.63,26922.84,23776.22,22490.06,23894.16,25820.72,24919.03,24048.94,21745.69,18748.5,19394.81,20288.06,19639.22,27602.25,24063.84,33126.56,31651.69,36488.16,32279.06,34252.88,35499.94,32070.47,29868.0,27360.28,31650.84,35322.38,25103.16,27976.88,33929.44,36695.91,32344.22,33922.22,32875.31,30486.66,34933.03,35948.34,25448.91,31916.81,34875.84,28060.13,35542.31,37964.25,38745.66,35547.09,38105.81,35246.53,31101.84,27863.63,27312.47,30319.22,24904.03,28974.84,22621.22,24373.69,23776.41,23575.5,23509.78,20205.66,23740.78,22542.28,28870.13,29060.63,30225.66,29392.41,30351.75,35272.88,31880.81,33258.94,33111.75,34161.66,25986.84,18913.13
2016-05-14,19070.81,18945.28,23805.28,24983.06,24951.66,25214.53,24423.84,24687.75,26321.53,26763.28,24987.0,22369.41,20749.69,18889.69,21470.06,18128.16,18249.0,22398.66,21404.72,26936.81,22884.09,22863.19,24518.34,19804.6,16769.16,14486.34,15845.06,14224.13,11787.94,12072.19,11757.47,14335.5,16291.97,17893.78,14569.13,11595.75,13021.31,11972.25,14633.53,13439.53,10686.94,11924.72,11854.78,13278.56,15568.59,18585.28,18757.59,15858.09,11560.41,11106.56,8565.0,11542.88,4819.875,9250.125,12201.0,4621.875,9122.344,6529.5,2264.063,5172.375,8538.281,7231.032,9123.563,3876.75,5876.719,8426.063,2544.469,5032.781,3448.969,4269.094,10138.31,23316.0,23545.03,28691.53,34578.0,30146.44,23691.19,25211.72,16655.91,29124.0,29909.53,20751.66,18881.25,34487.63,32120.34,26693.91,25311.47,23524.97,30650.91,32722.69,29245.41,19829.53,15273.0,14155.69,12525.75,11303.72
2016-05-15,10770.0,9649.031,9260.345,9587.719,8264.345,9609.469,8072.25,6170.344,4819.219,5501.438,5608.406,8825.344,7881.188,6093.938,7044.188,7400.156,8821.969,9336.282,7762.313,10760.06,17487.56,9043.875,6727.5,6254.438,8283.094,6905.813,7003.688,9270.188,11717.25,14862.75,7704.75,14167.97,14022.0,12052.97,13417.03,13859.25,15479.81,16169.25,17330.81,17595.19,18828.47,19213.69,22477.88,20152.59,19288.78,28768.03,34102.88,26747.25,25054.78,19076.91,18557.63,16561.78,16626.38,27675.56,23177.63,14672.44,14752.69,11414.16,12801.56,16065.66,9755.063,11598.75,3183.375,20263.31,16078.03,12526.59,24427.69,21707.53,8072.063,20303.81,26632.78,29551.69,27267.94,21537.47,19918.69,17144.44,23315.06,26114.06,24165.47,18305.53,13791.84,8835.281,8655.0,20492.44,27203.34,25549.69,32244.09,33935.63,33483.19,32765.72,27665.63,20987.72,16656.28,12542.72,11092.13,14324.06
2016-05-16,23662.88,26068.78,22773.19,17266.03,20372.06,25626.56,17980.22,23189.72,22091.25,19582.22,14147.81,18939.28,19971.19,14394.56,16533.38,15707.16,20049.94,16613.16,16248.38,17704.97,9483.281,9480.376,8145.188,9748.406,8492.25,4360.969,2072.906,1091.625,3529.875,4934.344,3875.813,3231.844,4574.438,3549.75,1984.875,4173.281,4192.125,3600.75,2429.719,3849.469,10805.81,9583.875,6672.469,8175.094,9079.688,17032.88,12054.0,12835.78,11644.97,11391.84,10524.09,9216.656,9950.531,4576.219,9112.875,6885.281,3769.125,5177.344,4001.344,3188.531,3629.719,2018.344,5468.625,2724.656,4651.688,1926.938,3208.313,3769.594,1100.438,2263.125,-44.15625,107.0625,-65.71875,-67.125,-58.125,181.5,1331.063,3133.313,2827.125,3648.469,3427.5,7158.469,7104.938,8487.563,6490.781,5654.813,5233.594,5469.938,7611.844,7957.875,2153.156,517.3125,166.2188,697.875,307.9688,105.2813
2016-05-17,464.7188,1966.5,656.9063,695.9063,501.1875,2325.563,1834.875,1597.125,1733.719,1596.938,967.7813,921.1875,107.9063,-106.5,-104.8125,-97.40625,-93.46875,-51.75,-37.5,-43.3125,-44.25,-36.9375,-42.9375,-44.4375,-42.1875,-44.25,-57.84375,520.125,-87.0,-101.3438,-78.5625,120.9375,314.25,757.2188,1758.844,3424.313,6616.125,10429.03,16379.81,21047.06,25277.44,23406.94,22888.03,21999.28,21856.31,24816.28,27591.0,34139.06,36950.91,37933.03,36663.94,37451.06,34529.72,32771.72,35943.0,35997.84,37379.72,36010.69,36435.47,36479.81,35185.31,32939.06,35030.53,34710.85,35633.16,33000.0,34914.09,33152.34,35463.28,32592.38,34653.75,32414.16,30019.78,28913.34,32214.38,35477.81,34861.59,35102.72,35528.72,38523.19,36630.56,37347.19,36053.72,36870.66,35066.06,33757.31,35991.66,35427.66,36974.81,36912.38,4173.094,29650.97,13662.94,3139.125,10498.22,12080.25
2016-05-18,19370.44,20295.94,16542.47,5934.938,14804.81,31692.47,37565.25,37113.75,36880.97,35802.56,34480.69,34510.78,35950.22,34353.19,31723.59,35197.69,35366.53,34168.31,35319.47,35571.19,36364.78,34829.81,33941.16,35664.47,35755.22,36220.78,35393.72,37717.03,39764.16,39948.38,41754.38,42510.84,42256.5,39045.56,41314.5,39473.16,38082.66,39731.63,41326.69,41582.53,41337.47,39753.0,39510.28,40575.47,38088.47,40742.81,37959.38,37103.34,38923.22,39795.0,38455.88,39676.88,41191.13,38178.47,36345.56,36609.56,39326.91,39502.41,40160.72,39250.5,35223.38,40721.06,39584.53,36787.59,37871.63,35660.53,38866.78,35975.16,39057.66,35997.0,38434.69,36743.16,37775.81,38641.69,38183.91,38362.41,39864.56,39560.34,39605.63,38817.09,31932.38,39852.47,42697.22,43457.06,42703.88,42169.69,41973.19,40815.28,42159.66,41716.03,38529.0,29854.88,26554.41,23168.91,23561.63,28163.72
2016-05-19,22472.44,23982.84,30427.88,34380.47,37611.28,41720.06,36870.28,21931.97,27430.22,39017.53,37909.88,21086.25,33505.78,28738.5,16818.28,31462.22,27599.63,38825.91,29802.94,37242.28,41622.19,42566.25,40215.94,39248.06,33469.69,40343.63,43637.06,43762.69,43379.72,41512.88,41823.0,42508.13,41728.69,37637.16,33247.88,31817.72,29969.53,28894.88,21079.31,13049.25,14678.25,16733.44,12290.34,13044.84,10300.13,15484.59,14870.72,16635.38,18759.84,23736.75,11665.03,9739.781,8209.594,8005.219,3877.688,8013.281,5114.25,6464.906,994.3126,3561.188,2520.656,1423.125,1210.875,919.0313,1599.094,424.6875,159.375,64.03125,73.21875,-6.28125,10.21875,11.71875,13.03125,9.0,13.78125,7.5,27.375,199.9688,1200.75,1270.688,2853.844,2857.969,2617.688,2912.906,3094.5,8039.157,8113.969,8074.031,10509.56,11900.06,10884.56,13913.53,13313.72,14987.72,16536.09,10366.88
